8 | 8 | WU4911 | AEYX Running | 275
7591 | 8156 | YS8954 | AEYX Running | 185
7592 | 7592 | SO7413 | FXZ Waiting | 302
7593 | 7713 | BT1022 | GGFI Running | 261
7595 | 7595 | NL3630 | VYN Waiting | 86
7597 | 7989 | QF5776 | SKHG Running | 221
7602 | 8121 | RP1389 | OTHL Running | 41
7611 | 8241 | IH3117 | HENQ Running | 18
7621 | 8186 | OT8008 | AEYX Running | 36
7623 | 7743 | GT2277 | GGFI Running | 13
7627 | 7627 | WO4259 | NLC Waiting | 203
7627 | 8019 | TX1983 | SKHG Running | 258
7632 | 8151 | PH3168 | OTHL Running | 25
7633 | 7633 | HH5026 | MDY Waiting | 28
7641 | 8259 | IU6288 | HENQ Running | 381
7651 | 8216 | WQ4618 | AEYX Running | 258
7653 | 7756 | RO2320 | GGFI Running | 185
7654 | 7762 | LT8080 | NWS Running | 240
7657 | 8049 | FY2231 | SKHG Running | 20
7661 | 7661 | HH5026 | MDY Running | 183
7661 | 7661 | JU4028 | LWT Running | 12
7662 | 8176 | CD4515 | OTHL Running | 265
7670 | 7670 | JB1993 | ION Running | 98
7671 | 8289 | YS3084 | HENQ Running | 76
7673 | 7673 | JU4028 | LWT Waiting | 58
7676 | 7676 | PZ3265 | AEYX Waiting | 110
7681 | 8001 | NL3630 | VYN Running | 18
7683 | 7786 | XW4568 | GGFI Running | 164
7687 | 8069 | RF5128 | SKHG Running | 52
7692 | 8206 | WT5213 | OTHL Running | 166
7701 | 8319 | CE6996 | HENQ Running | 34
7702 | 7887 | TD6513 | LGO Running | 53
7705 | 7705 | RY3235 | KJK Waiting | 54
7706 | 8246 | GB7708 | AEYX Running | 103
7713 | 7816 | LZ2505 | GGFI Running | 98
7717 | 8099 | XP1862 | SKHG Running | 93
7719 | 7719 | XS5253 | GBE Running | 380
7722 | 7722 | OP8529 | UQL Waiting | 390
7722 | 8236 | JN8912 | OTHL Running | 48
7731 | 7731 | JU4028 | LWT Running | 31
7731 | 8349 | BI8641 | HENQ Running | 203
7736 | 8276 | BK7385 | AEYX Running | 4
7737 | 7793 | RT3693 | JMR Running | 406
7743 | 7846 | BT1022 | GGFI Running | 231
7749 | 8129 | IY5923 | SKHG Running | 140
7752 | 8266 | SI5870 | OTHL Running | 193
7756 | 7756 | GT2277 | KSJ Running | 190
7759 | 7759 | RY3235 | KJK Running | 413
7761 | 8379 | PE5383 | HENQ Running | 46
7762 | 7762 | BE5343 | NWS Waiting | 288
7762 | 8296 | JU4028 | OTHL Running | 120
7766 | 8280 | NI1688 | AEYX Running | 366
7768 | 7768 | JB1993 | ION Waiting | 175
7779 | 8159 | CE1485 | SKHG Running | 240
7782 | 8326 | GN2723 | OTHL Running | 124
7786 | 8310 | PZ3265 | AEYX Running | 199
7786 | 7876 | RO2320 | GGFI Running | 155
7791 | 7791 | SG7555 | DLQ Running | 42
7791 | 8409 | KU1575 | HENQ Running | 188
7793 | 7793 | BU2296 | JMR Waiting | 228
7796 | 8340 | OB2611 | AEYX Running | 21
7809 | 8189 | SN6660 | SKHG Running | 444
7812 | 8356 | NT3542 | OTHL Running | 162
7816 | 7906 | XW4568 | GGFI Running | 134
7821 | 8439 | DO3649 | HENQ Running | 29
7826 | 8361 | HB1600 | AEYX Running | 136
7830 | 7830 | WO4259 | NLC Running | 378
7833 | 7936 | SG7555 | GGFI Running | 16
7839 | 8219 | LJ8105 | SKHG Running | 104
7842 | 8386 | MB3250 | OTHL Running | 423
7844 | 8249 | HH5026 | SKHG Running | 384
7846 | 7952 | LZ2505 | GGFI Running | 68
7851 | 8468 | KI1087 | HENQ Running | 134
7853 | 7853 | VG5876 | VYN Waiting | 112
7856 | 8391 | XZ1011 | AEYX Running | 118
7869 | 8279 | QQ9383 | SKHG Running | 187
7872 | 7872 | HF7943 | VCG Running | 252
7872 | 8416 | YS2179 | OTHL Running | 83
7876 | 7982 | BT1022 | GGFI Running | 201
7881 | 8498 | BW3613 | HENQ Running | 33
7886 | 8421 | YL5980 | AEYX Running | 14
7887 | 8012 | BH6999 | GGFI Running | 5
7894 | 7894 | SO7413 | FXZ Running | 250
7899 | 8309 | RA6977 | SKHG Running | 138
7902 | 8446 | IF8167 | OTHL Running | 22
7906 | 8017 | RO2320 | GGFI Running | 125
7911 | 8528 | TY7283 | HENQ Running | 210
7916 | 8435 | MA7428 | AEYX Running | 258
7929 | 8339 | AJ8361 | SKHG Running | 154
7932 | 8468 | HS5200 | OTHL Running | 102
7936 | 8047 | XW4568 | GGFI Running | 104
7940 | 7940 | TD6513 | LGO Waiting | 297
7941 | 8558 | EY9982 | HENQ Running | 216
7943 | 7943 | JB1993 | ION Running | 3
7946 | 7946 | GT2277 | KSJ Waiting | 160
7946 | 8588 | JB1993 | HENQ Running | 344
7946 | 8465 | IL5709 | AEYX Running | 2
7952 | 7952 | SG7555 | Finished | 0
7959 | 8369 | ST1210 | SKHG Running | 83
7962 | 8498 | HO6322 | OTHL Running | 205
7965 | 8019 | VG5876 | VYN Running | 74
7971 | 8618 | JB8568 | HENQ Running | 65
7976 | 8467 | WD2150 | AEYX Running | 68
7982 | 8077 | LZ2505 | GGFI Running | 38
7989 | 8399 | KJ5751 | SKHG Running | 175
7992 | 8528 | XX5071 | OTHL Running | 141
8001 | 8001 | GI2602 | GAT Running | 154
8001 | 8001 | PP4630 | VYN Waiting | 140
8001 | 8648 | FP4980 | HENQ Running | 217
8002 | 8002 | LT8080 | NWS Waiting | 293
8006 | 8497 | JK5854 | AEYX Running | 40
8012 | 8107 | BT1022 | GGFI Running | 171
8017 | 8017 | BH6999 | GGFI Waiting | 163
8019 | 8019 | NL3630 | VYN Waiting | 498
8019 | 8429 | QF5776 | SKHG Running | 191
8021 | 8199 | BU2296 | JMR Running | 324
8031 | 8678 | KF5674 | HENQ Running | 10
8031 | 8558 | RS1536 | OTHL Running | 284
8036 | 8527 | LK1459 | AEYX Running | 98
8040 | 8040 | TK6987 | CPL Running | 177
8047 | 8137 | RO2320 | GGFI Running | 95
8049 | 8459 | TX1983 | SKHG Running | 228
8050 | 8050 | BE5343 | NWS Running | 368
8061 | 8588 | NG2840 | OTHL Running | 157
8061 | 8688 | YB4870 | HENQ Running | 6
8066 | 8557 | AJ8561 | AEYX Running | 426
8069 | 8093 | FY2231 | VYN Running | 433
8077 | 8167 | XW4568 | GGFI Running | 74
8091 | 8618 | UH2381 | OTHL Running | 45
8091 | 8694 | XT7284 | HENQ Running | 208
8093 | 8093 | VG5876 | VYN Waiting | 233
8096 | 8587 | WU4911 | AEYX Running | 269
8099 | 8099 | XS5253 | GBE Waiting | 456
8099 | 8489 | RF5128 | SKHG Running | 22
8106 | 8106 | GT2277 | KSJ Running | 8
8107 | 8197 | LZ2505 | GGFI Running | 8
8112 | 8112 | OP8529 | UQL Running | 320
8114 | 8114 | GT2277 | KSJ Waiting | 306
8121 | 8724 | HT2553 | HENQ Running | 268
8121 | 8648 | KG1408 | OTHL Running | 99
8124 | 8124 | HF7943 | VCG Waiting | 112
8126 | 8617 | FU4748 | AEYX Running | 67
8129 | 8511 | XP1862 | SKHG Running | 63
8137 | 8205 | BT1022 | GGFI Running | 141
8141 | 8526 | PP4630 | VYN Running | 480
8144 | 8144 | SO7413 | FXZ Waiting | 178
8151 | 8678 | RP1389 | OTHL Running | 11
8151 | 8754 | YL8763 | HENQ Running | 296
8155 | 8155 | GI2602 | GAT Waiting | 154
8156 | 8647 | GS3982 | AEYX Running | 290
8159 | 8541 | IY5923 | SKHG Running | 110
8167 | 8235 | RO2320 | GGFI Running | 65
8172 | 8172 | RY3235 | KJK Waiting | 29
8176 | 8176 | PH3168 | OTHL Waiting | 70
8180 | 8265 | BH6999 | GGFI Running | 314
8181 | 8784 | UJ3926 | HENQ Running | 5
8186 | 8677 | YS8954 | AEYX Running | 155
8189 | 8571 | CE1485 | SKHG Running | 210
8197 | 8295 | XW4568 | GGFI Running | 44
8199 | 8325 | RT3693 | GGFI Running | 313
8201 | 8201 | RY3235 | KJK Running | 344
8205 | 8205 | LZ2505 | LGO Running | 334
8206 | 8689 | CD4515 | OTHL Running | 235
8208 | 8208 | WO4259 | NLC Waiting | 52
8211 | 8789 | VU8899 | HENQ Running | 59
8216 | 8707 | OT8008 | AEYX Running | 6
8217 | 8601 | TK6987 | SKHG Running | 481
8219 | 8631 | SN6660 | SKHG Running | 414
8235 | 8355 | BT1022 | GGFI Running | 111
8236 | 8236 | HF7943 | VCG Running | 14
8236 | 8719 | WT5213 | OTHL Running | 136
8237 | 8539 | TD6513 | LGO Running | 444
8241 | 8819 | UC3636 | HENQ Running | 154
8246 | 8749 | PH3168 | OTHL Running | 158
8246 | 8713 | WQ4618 | AEYX Running | 228
8249 | 8661 | LJ8105 | SKHG Running | 74
8250 | 8743 | HF7943 | AEYX Running | 481
8259 | 8259 | IH3117 | HENQ Waiting | 460
8260 | 8260 | WO4259 | NLC Running | 334
8265 | 8385 | RO2320 | GGFI Running | 35
8266 | 8779 | JN8912 | OTHL Running | 18
8276 | 8773 | GB7708 | AEYX Running | 73
8279 | 8691 | HH5026 | SKHG Running | 354
8280 | 8280 | BK7385 | AEYX Waiting | 453
8289 | 8849 | IU6288 | HENQ Running | 351
8295 | 8418 | LT8080 | NWS Running | 308
8295 | 8415 | BH6999 | GGFI Running | 284
8296 | 8797 | SI5870 | OTHL Running | 163
8309 | 8309 | GI2602 | GAT Running | 249
8309 | 8721 | QQ9383 | SKHG Running | 157
8310 | 8803 | NI1688 | AEYX Running | 336
8319 | 8879 | YS3084 | HENQ Running | 46
8322 | 8322 | SO7413 | FXZ Running | 434
8325 | 8445 | XW4568 | GGFI Running | 14
8326 | 9006 | VG5876 | VYN Running | 358
8326 | 8827 | JU4028 | OTHL Running | 90
8339 | 8751 | RA6977 | SKHG Running | 108
8340 | 8833 | PZ3265 | AEYX Running | 169
8349 | 8909 | CE6996 | HENQ Running | 4
8355 | 8459 | RT3693 | GGFI Running | 283
8356 | 8857 | GN2723 | OTHL Running | 94
8361 | 8361 | OB2611 | LER Running | 221
8369 | 8781 | AJ8361 | SKHG Running | 124
8379 | 8913 | BI8641 | HENQ Running | 173
8385 | 8489 | BT1022 | GGFI Running | 81
8386 | 8887 | NT3542 | OTHL Running | 132
8391 | 8863 | HB1600 | AEYX Running | 106
8399 | 8811 | ST1210 | SKHG Running | 53
8409 | 8943 | PE5383 | HENQ Running | 16
8415 | 8519 | RO2320 | GGFI Running | 5
8416 | 8917 | MB3250 | OTHL Running | 393
8418 | 8418 | BE5343 | NWS Waiting | 0
8418 | 8726 | BE5343 | NWS Running | 21
8420 | 8420 | GT2277 | KSJ Running | 11
8421 | 8893 | XZ1011 | AEYX Running | 88
8429 | 8841 | KJ5751 | SKHG Running | 145
8431 | 8431 | GT2277 | KSJ Waiting | 46
8432 | 8432 | OP8529 | UQL Waiting | 45
8435 | 8545 | YL5980 | KJK Running | 264
8439 | 8959 | KU1575 | HENQ Running | 158
8445 | 8524 | BH6999 | GGFI Running | 254
8446 | 8947 | YS2179 | OTHL Running | 53
8459 | 8459 | XW4568 | KSJ Running | 463
8459 | 8871 | QF5776 | SKHG Running | 161
8465 | 8923 | MA7428 | AEYX Running | 228
8467 | 8467 | IL5709 | AEYX Waiting | 335
8468 | 8468 | DO3649 | HENQ Waiting | 4
8468 | 8468 | IF8167 | OTHL Waiting | 398
8472 | 8989 | DO3649 | HENQ Running | 275
8477 | 8922 | GT2277 | KSJ Running | 254
8477 | 8477 | OP8529 | UQL Running | 236
8489 | 8554 | RT3693 | GGFI Running | 253
8489 | 8901 | TX1983 | SKHG Running | 198
8497 | 8953 | WD2150 | AEYX Running | 38
8498 | 8977 | HS5200 | OTHL Running | 72
8498 | 9019 | KI1087 | HENQ Running | 104
8511 | 8511 | RF5128 | KGZ Running | 367
8517 | 9364 | NL3630 | VYN Running | 419
8519 | 8584 | BT1022 | GGFI Running | 51
8523 | 8523 | BU2296 | JMR Waiting | 99
8524 | 8524 | RO2320 | GGFI Waiting | 311
8526 | 8526 | FY2231 | VYN Waiting | 183
8527 | 8983 | JK5854 | AEYX Running | 10
8528 | 9049 | BW3613 | HENQ Running | 3
8528 | 9007 | HO6322 | OTHL Running | 175
8539 | 8539 | LZ2505 | LGO Waiting | 138
8541 | 8931 | XP1862 | SKHG Running | 33
8545 | 8545 | RY3235 | KJK Waiting | 93
8554 | 8614 | BH6999 | GGFI Running | 224
8555 | 8555 | XS5253 | GBE Running | 51
8557 | 8993 | LK1459 | AEYX Running | 68
8558 | 8558 | GI2602 | GAT Waiting | 195
8558 | 9052 | TY7283 | HENQ Running | 180
8558 | 9037 | XX5071 | OTHL Running | 111
8571 | 8961 | IY5923 | SKHG Running | 80
8582 | 8582 | OB2611 | LER Waiting | 290
8584 | 8644 | RT3693 | GGFI Running | 223
8587 | 9023 | AJ8561 | AEYX Running | 396
8588 | 9082 | EY9982 | HENQ Running | 186
8588 | 9067 | RS1536 | OTHL Running | 254
8594 | 8594 | WO4259 | NLC Waiting | 139
8601 | 8991 | CE1485 | SKHG Running | 180
8606 | 8606 | XS5253 | GBE Waiting | 484
8614 | 8674 | BT1022 | GGFI Running | 21
8617 | 9053 | WU4911 | AEYX Running | 239
8618 | 9112 | JB1993 | HENQ Running | 314
8618 | 9097 | NG2840 | OTHL Running | 127
8622 | 8622 | BU2296 | JMR Running | 113
8631 | 9021 | TK6987 | SKHG Running | 451
8638 | 8809 | RY3235 | KJK Running | 442
8644 | 8695 | BH6999 | GGFI Running | 194
8647 | 9083 | FU4748 | AEYX Running | 37
8648 | 9142 | JB8568 | HENQ Running | 35
8648 | 9127 | UH2381 | OTHL Running | 15
8661 | 9051 | SN6660 | SKHG Running | 384
8674 | 8725 | RT3693 | GGFI Running | 193
8677 | 8983 | LZ2505 | LGO Running | 201
8677 | 9113 | GS3982 | AEYX Running | 260
8678 | 9172 | FP4980 | HENQ Running | 187
8678 | 9142 | KG1408 | OTHL Running | 69
8688 | 8688 | KF5674 | GKS Running | 244
8689 | 8689 | RP1389 | OTHL Waiting | 213
8691 | 9081 | LJ8105 | SKHG Running | 44
8694 | 8694 | YB4870 | LIW Running | 159
8695 | 9184 | BT1022 | LGO Running | 496
8707 | 9143 | YS8954 | AEYX Running | 125
8709 | 9783 | FY2231 | VYN Running | 485
8713 | 9202 | OP8529 | HENQ Running | 114
8713 | 8713 | OT8008 | AEYX Waiting | 312
8719 | 9232 | IH3117 | HENQ Running | 121
8719 | 9172 | CD4515 | OTHL Running | 205
8721 | 9111 | HH5026 | SKHG Running | 324
8724 | 9262 | XT7284 | HENQ Running | 178
8725 | 8755 | BH6999 | GGFI Running | 164
8726 | 9141 | LT8080 | SKHG Running | 156
8733 | 9173 | BK7385 | AEYX Running | 481
8733 | 8733 | WO4259 | NLC Running | 421
8735 | 8785 | BU2296 | GGFI Running | 156
8743 | 9203 | WQ4618 | AEYX Running | 198
8747 | 9171 | BE5343 | SKHG Running | 25
8749 | 9202 | WT5213 | OTHL Running | 106
8751 | 9196 | QQ9383 | SKHG Running | 127
8753 | 8753 | GI2602 | GAT Running | 348
8754 | 9292 | HT2553 | HENQ Running | 238
8755 | 8815 | RT3693 | GGFI Running | 163
8756 | 8756 | SO7413 | FXZ Waiting | 348
8773 | 9233 | HF7943 | AEYX Running | 451
8779 | 9232 | PH3168 | OTHL Running | 128
8781 | 9226 | RA6977 | SKHG Running | 78
8784 | 9322 | YL8763 | HENQ Running | 266
8785 | 8845 | BH6999 | GGFI Running | 134
8789 | 8789 | UJ3926 | HENQ Waiting | 251
8797 | 8797 | JN8912 | VGQ Running | 157
8802 | 9263 | IL5709 | AEYX Running | 455
8803 | 9293 | GB7708 | AEYX Running | 43
8809 | 8809 | YL5980 | KJK Waiting | 46
8811 | 9256 | AJ8361 | SKHG Running | 94
8815 | 8875 | BU2296 | GGFI Running | 126
8819 | 9352 | VU8899 | HENQ Running | 29
8827 | 9262 | SI5870 | OTHL Running | 133
8833 | 9323 | NI1688 | AEYX Running | 306
8835 | 8905 | RO2320 | GGFI Running | 177
8841 | 9286 | ST1210 | SKHG Running | 23
8845 | 8935 | RT3693 | GGFI Running | 133
8849 | 9381 | UC3636 | HENQ Running | 124
8853 | 8853 | YB4870 | LIW Waiting | 236
8855 | 9251 | YL5980 | KJK Running | 494
8857 | 9292 | JU4028 | OTHL Running | 60
8863 | 9353 | PZ3265 | AEYX Running | 139
8866 | 9322 | IF8167 | OTHL Running | 8
8871 | 9309 | KJ5751 | SKHG Running | 115
8872 | 8872 | OB2611 | LER Running | 354
8875 | 8965 | BH6999 | GGFI Running | 104
8878 | 8878 | RF5128 | KGZ Waiting | 484
8879 | 9411 | IU6288 | HENQ Running | 321
8887 | 9330 | GN2723 | OTHL Running | 64
8893 | 9383 | HB1600 | AEYX Running | 76
8901 | 9339 | QF5776 | SKHG Running | 131
8902 | 9360 | RP1389 | OTHL Running | 431
8905 | 8995 | BU2296 | GGFI Running | 96
8909 | 9441 | YS3084 | HENQ Running | 16
8913 | 8913 | CE6996 | HENQ Waiting | 349
8917 | 9390 | NT3542 | OTHL Running | 102
8922 | 8922 | XW4568 | KSJ Waiting | 271
8923 | 9413 | XZ1011 | AEYX Running | 58
8931 | 9369 | TX1983 | SKHG Running | 168
8932 | 8932 | KF5674 | GKS Waiting | 59
8935 | 9025 | RO2320 | GGFI Running | 147
8943 | 9457 | BI8641 | HENQ Running | 143
8947 | 9420 | MB3250 | OTHL Running | 363
8953 | 9443 | MA7428 | AEYX Running | 198
8954 | 8954 | JN8912 | VGQ Waiting | 490
8959 | 8959 | PE5383 | HENQ Waiting | 334
8961 | 9399 | XP1862 | SKHG Running | 3
8965 | 9055 | RT3693 | GGFI Running | 103
8977 | 9450 | YS2179 | OTHL Running | 23
8983 | 8983 | TD6513 | LGO Waiting | 284
8983 | 9473 | WD2150 | AEYX Running | 8
8989 | 9487 | KU1575 | HENQ Running | 128
8991 | 8991 | KF5674 | GKS Running | 278
8991 | 9402 | IY5923 | SKHG Running | 50
8993 | 8993 | JK5854 | AEYX Waiting | 268
8995 | 9085 | BH6999 | GGFI Running | 74
9006 | 9006 | PP4630 | VYN Waiting | 462
9007 | 9473 | HS5200 | OTHL Running | 42
9019 | 9517 | DO3649 | HENQ Running | 245
9021 | 9432 | CE1485 | SKHG Running | 150
9023 | 9481 | LK1459 | AEYX Running | 38
9025 | 9511 | OT8008 | AEYX Running | 391
9025 | 9115 | BU2296 | GGFI Running | 66
9037 | 9503 | HO6322 | OTHL Running | 145
9040 | 9547 | UJ3926 | HENQ Running | 56
9049 | 9577 | KI1087 | HENQ Running | 74
9051 | 9462 | TK6987 | SKHG Running | 421
9052 | 9052 | BW3613 | HENQ Waiting | 460
9053 | 9541 | AJ8561 | AEYX Running | 366
9055 | 9145 | RO2320 | GGFI Running | 117
9067 | 9533 | XX5071 | OTHL Running | 81
9081 | 9492 | SN6660 | SKHG Running | 354
9082 | 9607 | TY7283 | HENQ Running | 150
9083 | 9571 | WU4911 | AEYX Running | 209
9085 | 9175 | RT3693 | GGFI Running | 73
9089 | 9089 | YB4870 | LIW Running | 73
9090 | 9090 | XS5253 | GBE Running | 275
9097 | 9563 | RS1536 | OTHL Running | 224
9101 | 9101 | GI2602 | GAT Waiting | 198
9104 | 9104 | SO7413 | FXZ Running | 159
9111 | 9522 | LJ8105 | SKHG Running | 14
9112 | 9637 | EY9982 | HENQ Running | 156
9113 | 9601 | FU4748 | AEYX Running | 7
9115 | 9205 | BH6999 | GGFI Running | 44
9127 | 9593 | NG2840 | OTHL Running | 97
9141 | 9536 | HH5026 | SKHG Running | 294
9142 | 9142 | UH2381 | LWT Running | 32
9142 | 9667 | JB1993 | HENQ Running | 284
9143 | 9608 | GS3982 | AEYX Running | 230
9145 | 9235 | BU2296 | GGFI Running | 36
9154 | 9697 | WO4259 | HENQ Running | 334
9162 | 9162 | YB4870 | LIW Waiting | 487
9171 | 9566 | LT8080 | SKHG Running | 126
9172 | 9727 | JB8568 | HENQ Running | 5
9172 | 9623 | KG1408 | OTHL Running | 39
9173 | 9638 | YS8954 | AEYX Running | 95
9174 | 9174 | UH2381 | LWT Waiting | 268
9175 | 9265 | RO2320 | GGFI Running | 87
9176 | 9295 | GT2277 | GGFI Running | 38
9184 | 9184 | LZ2505 | LGO Waiting | 52
9193 | 9193 | XW4568 | KSJ Running | 371
9196 | 9196 | BE5343 | SKHG Waiting | 177
9202 | 9653 | CD4515 | OTHL Running | 175
9202 | 9732 | FP4980 | HENQ Running | 157
9203 | 9668 | BK7385 | AEYX Running | 451
9205 | 9325 | RT3693 | GGFI Running | 43
9226 | 9226 | OB2611 | LER Waiting | 258
9226 | 9596 | QQ9383 | SKHG Running | 97
9232 | 9762 | OP8529 | HENQ Running | 84
9232 | 9683 | WT5213 | OTHL Running | 76
9233 | 9698 | WQ4618 | AEYX Running | 168
9235 | 9355 | BH6999 | GGFI Running | 14
9236 | 9680 | LZ2505 | LGO Running | 61
9251 | 9728 | RY3235 | AEYX Running | 35
9256 | 9626 | RA6977 | SKHG Running | 48
9261 | 9758 | JK5854 | AEYX Running | 113
9262 | 9792 | CE6996 | HENQ Running | 491
9262 | 9822 | IH3117 | HENQ Running | 91
9262 | 9713 | PH3168 | OTHL Running | 98
9263 | 9656 | SO7413 | SKHG Running | 463
9263 | 9788 | HF7943 | AEYX Running | 421
9265 | 9369 | BU2296 | GGFI Running | 6
9267 | 9741 | TD6513 | LGO Running | 366
9269 | 9269 | KF5674 | GKS Waiting | 489
9286 | 9686 | AJ8361 | SKHG Running | 64
9292 | 9743 | SI5870 | OTHL Running | 103
9292 | 9852 | XT7284 | HENQ Running | 148
9293 | 9882 | PE5383 | HENQ Running | 312
9293 | 9818 | IL5709 | AEYX Running | 425
9295 | 9375 | RO2320 | GGFI Running | 57
9299 | 9299 | GI2602 | GAT Running | 262
9309 | 10268 | ST1210 | VYN Running | 160
9322 | 9912 | HT2553 | HENQ Running | 208
9322 | 9773 | JU4028 | OTHL Running | 30
9323 | 9848 | GB7708 | AEYX Running | 13
9325 | 9405 | GT2277 | GGFI Running | 8
9330 | 9330 | IF8167 | VGQ Running | 433
9339 | 9716 | KJ5751 | SKHG Running | 85
9352 | 9942 | YL8763 | HENQ Running | 236
9353 | 9861 | NI1688 | AEYX Running | 276
9355 | 9413 | RT3693 | GGFI Running | 13
9360 | 9803 | GN2723 | OTHL Running | 34
9362 | 9362 | RF5128 | KGZ Running | 446
9364 | 9746 | VG5876 | SKHG Running | 284
9365 | 9365 | XS5253 | GBE Waiting | 310
9369 | 9369 | BH6999 | JMR Running | 479
9369 | 9776 | QF5776 | SKHG Running | 101
9373 | 9806 | BE5343 | SKHG Running | 113
9375 | 9375 | BU2296 | GGFI Waiting | 366
9381 | 9381 | VU8899 | HENQ Waiting | 289
9383 | 9891 | PZ3265 | AEYX Running | 109
9390 | 9833 | RP1389 | OTHL Running | 401
9399 | 9836 | TX1983 | SKHG Running | 138
9402 | 9402 | XP1862 | SKHG Waiting | 356
9405 | 9426 | RO2320 | GGFI Running | 27
9411 | 9972 | UC3636 | HENQ Running | 94
9413 | 9413 | GT2277 | GGFI Waiting | 320
9413 | 9921 | HB1600 | AEYX Running | 46
9420 | 9863 | NT3542 | OTHL Running | 72
9426 | 9426 | RT3693 | GGFI Waiting | 124
9432 | 9866 | IY5923 | SKHG Running | 20
9441 | 10002 | IU6288 | HENQ Running | 291
9442 | 9442 | UH2381 | LWT Running | 485
9443 | 9951 | XZ1011 | AEYX Running | 28
9444 | 9763 | JN8912 | VGQ Running | 495
9450 | 9893 | MB3250 | OTHL Running | 333
9453 | 9848 | RO2320 | JMR Running | 383
9457 | 9457 | YS3084 | HENQ Waiting | 494
9462 | 9886 | CE1485 | SKHG Running | 120
9468 | 10428 | PP4630 | VYN Running | 175
9473 | 9473 | YS2179 | OTHL Waiting | 42
9473 | 9979 | MA7428 | AEYX Running | 168
9481 | 9481 | WD2150 | AEYX Waiting | 239
9484 | 9484 | OB2611 | LER Running | 319
9487 | 10032 | BI8641 | HENQ Running | 113
9492 | 9916 | TK6987 | SKHG Running | 391
9503 | 9923 | HS5200 | OTHL Running | 12
9511 | 10009 | LK1459 | AEYX Running | 8
9512 | 10062 | BW3613 | HENQ Running | 61
9515 | 9935 | YS2179 | OTHL Running | 147
9517 | 10092 | KU1575 | HENQ Running | 98
9522 | 9946 | SN6660 | SKHG Running | 324
9533 | 9965 | HO6322 | OTHL Running | 115
9536 | 9536 | LJ8105 | NWS Running | 384
9541 | 10017 | OT8008 | AEYX Running | 361
9547 | 10122 | DO3649 | HENQ Running | 215
9550 | 9550 | RT3693 | GGFI Running | 153
9561 | 9995 | GI2602 | OTHL Running | 71
9563 | 10025 | XX5071 | OTHL Running | 51
9564 | 9564 | XW4568 | KSJ Waiting | 295
9566 | 9976 | HH5026 | SKHG Running | 264
9571 | 10047 | AJ8561 | AEYX Running | 336
9577 | 10152 | UJ3926 | HENQ Running | 26
9580 | 9580 | RT3693 | GGFI Running | 123
9593 | 10055 | RS1536 | OTHL Running | 194
9596 | 10006 | LT8080 | SKHG Running | 96
9601 | 10077 | WU4911 | AEYX Running | 179
9607 | 10178 | KI1087 | HENQ Running | 44
9608 | 9608 | FU4748 | AEYX Waiting | 442
9610 | 9610 | RT3693 | GGFI Running | 93
9623 | 10085 | NG2840 | OTHL Running | 67
9626 | 10036 | QQ9383 | SKHG Running | 67
9637 | 10208 | TY7283 | HENQ Running | 120
9638 | 10107 | GS3982 | AEYX Running | 200
9640 | 9640 | RT3693 | GGFI Running | 63
9649 | 9649 | YB4870 | LIW Running | 109
9653 | 10115 | KG1408 | OTHL Running | 9
9656 | 10066 | RA6977 | SKHG Running | 18
9667 | 10238 | EY9982 | HENQ Running | 126
9668 | 10137 | YS8954 | AEYX Running | 65
9670 | 10268 | VU8899 | HENQ Running | 208
9670 | 9670 | RT3693 | GGFI Running | 33
9675 | 9675 | XS5253 | GBE Running | 67
9680 | 9680 | BT1022 | LGO Waiting | 393
9683 | 10124 | CD4515 | OTHL Running | 145
9686 | 10084 | SO7413 | SKHG Running | 433
9697 | 10298 | JB1993 | HENQ Running | 254
9698 | 10167 | BK7385 | AEYX Running | 421
9700 | 9700 | RT3693 | GGFI Running | 3
9703 | 10107 | RT3693 | LGO Running | 160
9713 | 10154 | WT5213 | OTHL Running | 46
9716 | 10114 | AJ8361 | SKHG Running | 34
9720 | 10197 | WD2150 | AEYX Running | 355
9727 | 10328 | WO4259 | HENQ Running | 304
9728 | 10227 | WQ4618 | AEYX Running | 138
9732 | 9732 | JB8568 | LZY Running | 131
9733 | 9733 | GT2277 | GGFI Running | 402
9741 | 9763 | BU2296 | GGFI Running | 418
9741 | 9741 | LZ2505 | LGO Waiting | 422
9742 | 10144 | XS5253 | SKHG Running | 116
9743 | 10184 | PH3168 | OTHL Running | 68
9745 | 9745 | YL5980 | KJK Waiting | 252
9746 | 10174 | KJ5751 | SKHG Running | 55
9758 | 9758 | KF5674 | GKS Running | 344
9758 | 10204 | XP1862 | SKHG Running | 110
9758 | 9758 | YB4870 | LIW Waiting | 350
9758 | 10257 | RY3235 | AEYX Running | 5
9762 | 10358 | FP4980 | HENQ Running | 127
9763 | 9763 | IF8167 | VGQ Waiting | 162
9763 | 9793 | GT2277 | GGFI Running | 372
9773 | 10214 | SI5870 | OTHL Running | 73
9776 | 10234 | VG5876 | SKHG Running | 254
9783 | 10264 | NL3630 | SKHG Running | 136
9788 | 10262 | JK5854 | AEYX Running | 83
9792 | 10388 | OP8529 | HENQ Running | 54
9793 | 9823 | BU2296 | GGFI Running | 388
9803 | 9803 | JU4028 | OTHL Waiting | 295
9803 | 9803 | OB2611 | LER Waiting | 255
9806 | 10294 | QF5776 | SKHG Running | 71
